Date_all,Last Price_all,short_window_all,long_window_all,signal_all,best_pnl_all,entrydiff,exitdiff,Profit
2022-05-05 20:00:00,1.0543,1.0543,1.0542666666666667,1.0,-0.00019999999999997797,0 days 00:00:00,0 days 00:00:00,
2022-05-05 20:30:00,1.0541,1.0541,1.05425,-1.0,0.0015000000000000568,0 days 00:30:00,0 days 01:00:00,0.0005999999999999339
2022-05-05 23:00:00,1.0535,1.0535,1.0531666666666666,1.0,-0.00020000000000020002,0 days 00:00:00,0 days 00:00:00,
2022-05-06 00:00:00,1.0528,1.0528,1.0529666666666666,-1.0,-0.00039999999999995595,0 days 00:00:00,0 days 00:00:00,
2022-05-06 00:30:00,1.0532,1.0532,1.0530666666666666,1.0,0.00019999999999997797,0 days 00:30:00,0 days 00:30:00,
2022-05-06 01:30:00,1.0522,1.0522,1.0530666666666666,-1.0,0.0035000000000000586,0 days 00:30:00,0 days 01:00:00,0.0021999999999999797
2022-05-06 03:30:00,1.0521,1.0521,1.0513333333333332,1.0,0.006899999999999906,0 days 00:30:00,0 days 02:30:00,0.0040000000000000036
2022-05-06 07:30:00,1.0566,1.0566,1.0575666666666668,-1.0,0.0012000000000000899,0 days 00:30:00,0 days 01:00:00,0.0018000000000000238
2022-05-06 09:00:00,1.0582,1.0582,1.0574166666666667,1.0,0.0009999999999998899,0 days 00:30:00,0 days 02:00:00,0.0019000000000000128
2022-05-06 11:30:00,1.0571,1.0571,1.0579333333333334,-1.0,0.0029999999999998916,0 days 00:30:00,0 days 04:30:00,0.0034000000000000696
2022-05-06 16:30:00,1.0551,1.0551,1.0547333333333333,1.0,0.000400000000000178,1 days 22:30:00,1 days 22:30:00,
2022-05-08 16:00:00,1.0548,1.0548,1.0549666666666666,-1.0,0.0040999999999999925,0 days 01:00:00,0 days 06:30:00,0.0037000000000000366
2022-05-09 00:00:00,1.0516,1.0516,1.0514000000000001,1.0,-0.000400000000000178,0 days 00:00:00,0 days 00:00:00,
2022-05-09 00:30:00,1.0512,1.0512,1.0512,-1.0,0.0009999999999998899,0 days 01:30:00,0 days 02:00:00,0.0007999999999999119
2022-05-09 03:00:00,1.0517,1.0517,1.0509,1.0,-9.999999999998899e-05,0 days 00:00:00,0 days 00:00:00,
2022-05-09 04:30:00,1.0507,1.0507,1.0510666666666666,-1.0,-0.00019999999999997797,0 days 00:00:00,0 days 00:00:00,
2022-05-09 05:30:00,1.0528,1.0528,1.0514833333333333,1.0,0.0036000000000000476,0 days 00:30:00,0 days 02:30:00,0.0030000000000001137
2022-05-09 09:00:00,1.0543,1.0543,1.055,-1.0,0.0016000000000000458,0 days 00:30:00,0 days 01:00:00,0.0005999999999999339
2022-05-09 11:30:00,1.0557,1.0557,1.0536833333333333,1.0,0.0032999999999998586,0 days 00:30:00,0 days 00:30:00,
2022-05-09 13:30:00,1.0558,1.0558,1.0563166666666668,-1.0,0.000500000000000167,0 days 00:30:00,0 days 00:30:00,
2022-05-09 16:30:00,1.0561,1.0561,1.05595,1.0,-0.00029999999999996696,0 days 00:00:00,0 days 00:00:00,
2022-05-09 17:00:00,1.0558,1.0558,1.0560333333333334,-1.0,0.00019999999999997797,0 days 00:30:00,0 days 01:00:00,0.00019999999999997797
2022-05-09 19:00:00,1.0559,1.0559,1.0558166666666666,1.0,0.0004999999999999449,0 days 00:30:00,0 days 00:30:00,
2022-05-09 20:30:00,1.0559,1.0559,1.0559166666666666,-1.0,-0.0004999999999999449,0 days 00:00:00,0 days 00:00:00,
2022-05-09 21:00:00,1.0564,1.0564,1.05605,1.0,0.0015000000000000568,0 days 00:30:00,0 days 02:30:00,0.0016000000000000458
2022-05-10 02:00:00,1.0567,1.0567,1.0575333333333334,-1.0,0.0009999999999998899,0 days 01:00:00,0 days 01:30:00,0.0005999999999999339
2022-05-10 04:30:00,1.0573,1.0573,1.0563166666666668,1.0,-0.0011999999999998678,0 days 00:00:00,0 days 00:00:00,
2022-05-10 05:00:00,1.0561,1.0561,1.0562166666666666,-1.0,0.0021999999999999797,0 days 00:30:00,0 days 00:30:00,
2022-05-10 07:00:00,1.0561,1.0561,1.0555166666666667,1.0,-0.00039999999999995595,0 days 00:00:00,0 days 00:00:00,
2022-05-10 08:30:00,1.0551,1.0551,1.0553333333333332,-1.0,-0.0008000000000001339,0 days 00:00:00,0 days 00:00:00,
2022-05-10 09:00:00,1.0559,1.0559,1.0555833333333333,1.0,-0.0016000000000000458,0 days 00:00:00,0 days 00:00:00,
2022-05-10 09:30:00,1.0543,1.0543,1.0554166666666667,-1.0,0.0012000000000000899,0 days 01:00:00,0 days 02:00:00,0.001000000000000112
2022-05-10 12:00:00,1.0541,1.0541,1.0538833333333335,1.0,-0.000700000000000145,0 days 00:00:00,0 days 00:00:00,
2022-05-10 12:30:00,1.0534,1.0534,1.0537333333333334,-1.0,0.00019999999999997797,0 days 00:30:00,0 days 00:30:00,
2022-05-10 13:30:00,1.0538,1.0538,1.0535500000000002,1.0,-0.000600000000000156,0 days 00:00:00,0 days 00:00:00,
2022-05-10 14:00:00,1.0532,1.0532,1.0534666666666666,-1.0,9.999999999998899e-05,0 days 00:30:00,0 days 00:30:00,
2022-05-10 15:00:00,1.0534,1.0534,1.0533499999999998,1.0,0.00010000000000021103,0 days 00:30:00,0 days 00:30:00,
2022-05-10 16:00:00,1.0531,1.0531,1.05335,-1.0,0.00019999999999997797,0 days 00:30:00,0 days 00:30:00,
2022-05-10 18:00:00,1.0534,1.0534,1.0531833333333334,1.0,0.00010000000000021103,0 days 00:30:00,0 days 01:00:00,0.00010000000000021103
2022-05-10 19:30:00,1.0529,1.0529,1.0532333333333332,-1.0,-0.00019999999999997797,0 days 00:00:00,0 days 00:00:00,
